,selling_price,Company,CarName,km_driven,cost/km,engine,max_power,owner,seats,Age,Dealer,Individual,Trustmark Dealer,Automatic,Manual,CNG,Diesel,LPG,Petrol
0,450000,Maruti,Swift,145500,3.8461538461538463,1248,74.0,1,5.0,11,0,1,0,0,1,0,1,0,0
1,370000,Skoda,Rapid,120000,4.257332071901608,1498,103.52,2,5.0,11,0,1,0,0,1,0,1,0,0
2,158000,Honda,City,140000,5.649717514124294,1497,78.0,3,5.0,19,0,1,0,0,1,0,0,0,1
3,225000,Hyundai,i20,127000,3.9130434782608696,1396,90.0,1,5.0,15,0,1,0,0,1,0,1,0,0
4,130000,Maruti,Swift,120000,6.211180124223602,1298,88.2,1,5.0,18,0,1,0,0,1,0,0,0,1
5,440000,Hyundai,Xcent,45000,4.965243296921549,1197,81.86,1,5.0,8,0,1,0,0,1,0,0,0,1
6,96000,Maruti,Wagon,175000,3.7572254335260116,1061,57.5,1,5.0,18,0,1,0,0,1,0,0,1,0
7,45000,Maruti,800,5000,6.211180124223602,796,37.0,2,4.0,24,0,1,0,0,1,0,0,0,1
8,350000,Toyota,Etios,90000,3.8151759220008477,1364,67.1,1,5.0,14,0,1,0,0,1,0,1,0,0
9,200000,Ford,Figo,169000,4.5,1399,68.1,1,5.0,12,0,1,0,0,1,0,1,0,0
10,500000,Renault,Duster,68000,4.734350341925302,1461,108.45,2,5.0,11,0,1,0,0,1,0,1,0,0
11,92000,Maruti,Zen,100000,5.780346820809248,993,60.0,2,5.0,20,0,1,0,0,1,0,0,0,1
12,280000,Maruti,Swift,140000,4.66321243523316,1248,73.9,2,5.0,16,0,1,0,0,1,0,1,0,0
14,180000,Maruti,Wagon,90000,5.291005291005291,1061,67.0,2,5.0,16,0,1,0,0,1,0,0,0,1
15,400000,Mahindra,KUV,40000,5.5096418732782375,1198,82.0,1,5.0,9,0,1,0,0,1,0,0,0,1
16,778000,Maruti,Ertiga,70000,3.6704730831973897,1248,88.5,2,7.0,9,0,1,0,0,1,0,1,0,0
